id_subject;subject_code;subject_acronym
13983434;2223_INGE_EI_OD_GI_UE7494_MODEP;MODEP
13983530;2223_INGE_EI_OD_GI_UE7494_SIGEC;SIGEC
13993031;2223_INGE_EI_OD_GI_UE83103_CHANGE;CHANGE
13992982;2223_INGE_EI_OD_GI_UE83103_HACOPG;HACOPG_GI
13993078;2223_INGE_EI_OD_GI_UE83103_P2GI;PROJGI
13993126;2223_INGE_EI_OD_GI_UE83103_RVAL;RVAL
13993174;2223_INGE_EI_OD_GI_UE83103_SIROP;SIROP
13975211;2223_INGE_EI_OD_INFOIA_UE7393_ALGOA;ALGOA
13975627;2223_INGE_EI_OD_INFOIA_UE7393_INDUR;INDUR
13975424;2223_INGE_EI_OD_INFOIA_UE7393_PAPY;PAPY
13975316;2223_INGE_EI_OD_INFOIA_UE7393_PFONC;PFONC
14145230;2223_INGE_EI_OD_INFOIA_UE7494_AGATH;AGATH
14145261;2223_INGE_EI_OD_INFOIA_UE7494_GPGPU;GPGPU
14145186;2223_INGE_EI_OD_INFOIA_UE7494_QCM;QCM
14145205;2223_INGE_EI_OD_INFOIA_UE7494_STASC;STASC
14145482;2223_INGE_EI_OD_INFOIA_UE83103_GRAAL;GRAAL
14145463;2223_INGE_EI_OD_INFOIA_UE83103_MPAR;MPAR
14145443;2223_INGE_EI_OD_INFOIA_UE83103_PAMEF;PAMEF
14145526;2223_INGE_EI_OD_INFOIA_UE83103_PIIA2;PROJINIA
14145504;2223_INGE_EI_OD_INFOIA_UE83103_PRLOG;PRLOG
13976682;2223_INGE_EI_OD_INFOSI_UE7393_BDONN;BDONN
13976633;2223_INGE_EI_OD_INFOSI_UE7393_GELOG;GELOG
13976585;2223_INGE_EI_OD_INFOSI_UE7393_MADIS;MADIS
13976512;2223_INGE_EI_OD_INFOSI_UE7393_OBJET;OBJET
13983819;2223_INGE_EI_OD_INFOSI_UE7494_ADATA;ADATA
13983612;2223_INGE_EI_OD_INFOSI_UE7494_MEDEV;MEDEV_INFOSI
13983724;2223_INGE_EI_OD_INFOSI_UE7494_SECUR;SECUR
13983772;2223_INGE_EI_OD_INFOSI_UE7494_SYRES;SYRES
13993542;2223_INGE_EI_OD_INFOSI_UE83103_DEVMO;DEVMO
13993274;2223_INGE_EI_OD_INFOSI_UE83103_PGROU;PROJINSI
13993616;2223_INGE_EI_OD_INFOSI_UE83103_PRWEB;PRWEB
13993668;2223_INGE_EI_OD_INFOSI_UE83103_SYSIN;SYSIN
13993330;2223_INGE_EI_OD_INFOSI_UE83103_TLANG;TLANG
13976946;2223_INGE_EI_OD_IPROD_UE7393_CMMO;CMMO
13976874;2223_INGE_EI_OD_IPROD_UE7393_CONCEPT;CONCEPT
13976826;2223_INGE_EI_OD_IPROD_UE7393_MOMAQ;MOMAQ
13976779;2223_INGE_EI_OD_IPROD_UE7393_USAGES;USAGES
13984018;2223_INGE_EI_OD_IPROD_UE7494_CONFORM;CONFORM
13984113;2223_INGE_EI_OD_IPROD_UE7494_PLANEX;PLANEX
13983947;2223_INGE_EI_OD_IPROD_UE7494_PROCOM;PROCOM
13983898;2223_INGE_EI_OD_IPROD_UE7494_RAPMA;RAPMA
13993781;2223_INGE_EI_OD_IPROD_UE83103_DESIN;DESIN
13993732;2223_INGE_EI_OD_IPROD_UE83103_HACOPG;HACOPG
13993885;2223_INGE_EI_OD_IPROD_UE83103_P2IPROD;PROJIPRO
13993838;2223_INGE_EI_OD_IPROD_UE83103_PROCD;PROCD
13993933;2223_INGE_EI_OD_IPROD_UE83103_SYPRO;SYPRO
14146852;2223_INGE_EI_OD_LOWTEC_UE7393_EXPLORE;EXPLORE
14153285;2223_INGE_EI_OD_LOWTEC_UE7494_COFALOW;COFALOW
14153412;2223_INGE_EI_OD_LOWTEC_UE83103_HORIZONS;HORIZONS
14153373;2223_INGE_EI_OD_LOWTEC_UE83103_LOWTEC3;LOWTEC
13977126;2223_INGE_EI_OD_MAAS_UE7393_ARCHI;ARCHI
13977197;2223_INGE_EI_OD_MAAS_UE7393_MEF;MEF
13977030;2223_INGE_EI_OD_MAAS_UE7393_MODYN;MODYN
13977079;2223_INGE_EI_OD_MAAS_UE7393_MSCOM;MSCOM
13984309;2223_INGE_EI_OD_MAAS_UE7494_HYPER;HYPER
13984262;2223_INGE_EI_OD_MAAS_UE7494_IFS;IFS
13984214;2223_INGE_EI_OD_MAAS_UE7494_PLAST;PLAST
13984383;2223_INGE_EI_OD_MAAS_UE7494_SERMS;SERMS
13994209;2223_INGE_EI_OD_MAAS_UE83103_COUPLED;COUPLED
13994010;2223_INGE_EI_OD_MAAS_UE83103_CRASH;CRASH
13994159;2223_INGE_EI_OD_MAAS_UE83103_NUMEXPE;NUMEXPE
13994059;2223_INGE_EI_OD_MAAS_UE83103_OUVERT;OUVERT
13994111;2223_INGE_EI_OD_MAAS_UE83103_P2MAAS;PROJMAAS
13977484;2223_INGE_EI_OD_MATEPRO_UE7393_CDMAT;CDMAT
13977294;2223_INGE_EI_OD_MATEPRO_UE7393_EXPER;EXPER
13977413;2223_INGE_EI_OD_MATEPRO_UE7393_MEF;MEF_MATEPRO
13977343;2223_INGE_EI_OD_MATEPRO_UE7393_MPHY;MPHY
13984556;2223_INGE_EI_OD_MATEPRO_UE7494_CONFVE;CONFVE
13984606;2223_INGE_EI_OD_MATEPRO_UE7494_MELAST;MELAST
13984508;2223_INGE_EI_OD_MATEPRO_UE7494_METAL;METAL
13984730;2223_INGE_EI_OD_MATEPRO_UE7494_POCOM;POCOM
13994360;2223_INGE_EI_OD_MATEPRO_UE83103_FARUP;FARUP
13994430;2223_INGE_EI_OD_MATEPRO_UE83103_MATSOC;MATSOC
13994290;2223_INGE_EI_OD_MATEPRO_UE83103_MIMET;MIMET
13994501;2223_INGE_EI_OD_MATEPRO_UE83103_MIPOL;MIPOL
13994550;2223_INGE_EI_OD_MATEPRO_UE83103_P2MATEPRO;PROJMATE
13977631;2223_INGE_EI_OD_MATHAPPLI_UE7393_AH;AH
13977583;2223_INGE_EI_OD_MATHAPPLI_UE7393_APST1;APST1
13977744;2223_INGE_EI_OD_MATHAPPLI_UE7393_PARC_APN_ANNUM1;ANNUM1
13977800;2223_INGE_EI_OD_MATHAPPLI_UE7393_PARC_S2D_STAT1;STAT1
13977685;2223_INGE_EI_OD_MATHAPPLI_UE7393_PROBA;PROBA
13984832;2223_INGE_EI_OD_MATHAPPLI_UE7494_MNP;MNP
13984994;2223_INGE_EI_OD_MATHAPPLI_UE7494_PARC_APN_ANEDP;ANEDP
13985051;2223_INGE_EI_OD_MATHAPPLI_UE7494_PARC_APN_ANNUM2;ANNUM2
13985105;2223_INGE_EI_OD_MATHAPPLI_UE7494_PARC_S2D_SDR;SDR
13985157;2223_INGE_EI_OD_MATHAPPLI_UE7494_PARC_S2D_STAT2;STAT2
13984930;2223_INGE_EI_OD_MATHAPPLI_UE7494_PRSTO;PRSTO
13994634;2223_INGE_EI_OD_MATHAPPLI_UE83103_APST2;APST2
13994683;2223_INGE_EI_OD_MATHAPPLI_UE83103_P2MATHAPPLI;PROJMATH
13994788;2223_INGE_EI_OD_MATHAPPLI_UE83103_PARC_APN_MBS;MBS
13994838;2223_INGE_EI_OD_MATHAPPLI_UE83103_PARC_APN_MODST;MODST
13994892;2223_INGE_EI_OD_MATHAPPLI_UE83103_PARC_S2D_BAYES;BAYES
13994942;2223_INGE_EI_OD_MATHAPPLI_UE83103_PARC_S2D_FAS;FAS
13994731;2223_INGE_EI_OD_MATHAPPLI_UE83103_QI;QI
13977872;2223_INGE_EI_OD_OCEAN_UE7393_ENVMA;ENVMA
13977945;2223_INGE_EI_OD_OCEAN_UE7393_HNUM1;HNUM1
13978019;2223_INGE_EI_OD_OCEAN_UE7393_INTHY;INTHY
13978072;2223_INGE_EI_OD_OCEAN_UE7393_TEMER;TEMER
13985228;2223_INGE_EI_OD_OCEAN_UE7494_HNUM2;HNUM2
13985306;2223_INGE_EI_OD_OCEAN_UE7494_HYDEX;HYDEX
13985363;2223_INGE_EI_OD_OCEAN_UE7494_MANCR;MANCR
13985463;2223_INGE_EI_OD_OCEAN_UE7494_PRPOR;PRPOR
13995085;2223_INGE_EI_OD_OCEAN_UE83103_APPRO;APPRO
13995135;2223_INGE_EI_OD_OCEAN_UE83103_CONAV;CONAV
13995012;2223_INGE_EI_OD_OCEAN_UE83103_EOLIEN;EOLIEN
13995207;2223_INGE_EI_OD_OCEAN_UE83103_INTFS;INTFS
13995280;2223_INGE_EI_OD_OCEAN_UE83103_P2OCEAN;PROJOCEA
13978564;2223_INGE_EI_OD_PHYCITE_UE7393_CONSTR;CONSTR
13978515;2223_INGE_EI_OD_PHYCITE_UE7393_EVT;EVT
13978663;2223_INGE_EI_OD_PHYCITE_UE7393_PRURB;PRURB
13978615;2223_INGE_EI_OD_PHYCITE_UE7393_SINBADP;SINBAD
13985738;2223_INGE_EI_OD_PHYCITE_UE7494_ACECE;ACECE
13985691;2223_INGE_EI_OD_PHYCITE_UE7494_ENERGUR;ENERGUR
