subject_code;subject_name;subject_acronym
2223_INGE_EI_OD_MAAS_UE7393_ARCHI;Structures Architecturées;ARCHI
2223_INGE_EI_OD_MAAS_UE7393_MEF;Méthode des éléments finis;MEF
2223_INGE_EI_OD_MAAS_UE7393_MODYN;Dynamique et analyse modale;MODYN
2223_INGE_EI_OD_MAAS_UE7393_MSCOM;Modélisation et simulation des matériaux et structures composites;MSCOM
2223_INGE_EI_OD_MAAS_UE7494_HYPER;Méthodes numériques pour la mécanique non-linéaire;HYPER
2223_INGE_EI_OD_MAAS_UE7494_IFS;Interaction Fluide-Structure;IFS
2223_INGE_EI_OD_MAAS_UE7494_PLAST;Plasticité des structures;PLAST
2223_INGE_EI_OD_MAAS_UE7494_SERMS;Simulation de l'endommagement et de la ruine des matériaux et des structures;SERMS
2223_INGE_EI_OD_MATEPRO_UE7393_CDMAT;Choix de matériaux;CDMAT
2223_INGE_EI_OD_MATEPRO_UE7393_EXPER;Outils expérimentaux;EXPER
2223_INGE_EI_OD_MATEPRO_UE7393_MEF;Méthode des éléments finis;MEF_MATEPRO
2223_INGE_EI_OD_MATEPRO_UE7393_MPHY;Modélisation multiphysique;MPHY
2223_INGE_EI_OD_MATEPRO_UE7494_CONFVE;Conférences et visites d'entreprises;CONFVE
2223_INGE_EI_OD_MATEPRO_UE7494_MELAST;Mécanique des élastomères;MELAST
2223_INGE_EI_OD_MATEPRO_UE7494_METAL;Métallurgie;METAL
2223_INGE_EI_OD_MATEPRO_UE7494_POCOM;Polymères solides et composites;POCOM
2223_INGE_EI_OD_MATHAPPLI_UE7393_AH;Analyse Hilbertienne;AH
2223_INGE_EI_OD_MATHAPPLI_UE7393_APST1;Apprentissage statistique;APST1
2223_INGE_EI_OD_MATHAPPLI_UE7393_PARC_APN_ANNUM1;Analyse numérique;ANNUM1
2223_INGE_EI_OD_MATHAPPLI_UE7393_PARC_S2D_STAT1;Statistique 1;STAT1
2223_INGE_EI_OD_MATHAPPLI_UE7393_PROBA;Probabilités;PROBA
2223_INGE_EI_OD_MATHAPPLI_UE7494_MNP;Méthodes numériques probabilistes;MNP
2223_INGE_EI_OD_MATHAPPLI_UE7494_PARC_APN_ANEDP;Equations aux dérivées partielles;ANEDP
2223_INGE_EI_OD_MATHAPPLI_UE7494_PARC_APN_ANNUM2;Analyse numérique avancée;ANNUM2
